"Natural herbaceous and shrub vegetation","Forests","Agricultural and livestock area","Non-vegetated area","Water bodies","Not observed"
"152,378,891 ha (54.6%)","53,731,644 ha (19.2%)","44,610,181 ha (16%)","23,725,578 ha (8.5%)","4,212,999 ha (1.5%)","579,195 ha (0.2%)"
