"Natural herbaceous and shrub vegetation","Agricultural and livestock area","Forests","Non-vegetated area","Water bodies","Not observed"
"150,322,615 ha (53.8%)","50,584,682 ha (18.1%)","49,741,491 ha (17.8%)","24,020,503 ha (8.6%)","3,950,735 ha (1.4%)","618,462 ha (0.2%)"
