"Natural herbaceous and shrub vegetation","Forests","Agricultural and livestock area","Non-vegetated area","Water bodies","Not observed"
"154,879,125 ha (55.5%)","56,650,658 ha (20.3%)","39,267,567 ha (14.1%)","23,705,492 ha (8.5%)","4,172,908 ha (1.5%)","562,737 ha (0.2%)"
