"Natural herbaceous and shrub vegetation","Forests","Agricultural and livestock area","Non-vegetated area","Water bodies","Not observed"
"153,137,478 ha (54.8%)","56,263,233 ha (20.1%)","41,184,108 ha (14.7%)","23,772,161 ha (8.5%)","4,238,236 ha (1.5%)","643,271 ha (0.2%)"
