"Natural herbaceous and shrub vegetation","Agricultural and livestock area","Forests","Non-vegetated area","Water bodies","Not observed"
"150,774,646 ha (54%)","50,439,086 ha (18.1%)","49,258,297 ha (17.6%)","23,875,558 ha (8.6%)","4,276,687 ha (1.5%)","614,213 ha (0.2%)"
