"Natural herbaceous and shrub vegetation","Forests","Agricultural and livestock area","Non-vegetated area","Water bodies","Not observed"
"152,917,963 ha (54.8%)","56,301,205 ha (20.2%)","41,243,577 ha (14.8%)","23,704,874 ha (8.5%)","4,449,942 ha (1.6%)","620,925 ha (0.2%)"
