"Natural herbaceous and shrub vegetation","Forests","Agricultural and livestock area","Non-vegetated area","Water bodies","Not observed"
"152,976,981 ha (54.8%)","55,798,237 ha (20%)","41,670,188 ha (14.9%)","23,904,984 ha (8.6%)","4,297,537 ha (1.5%)","590,559 ha (0.2%)"
