"Natural herbaceous and shrub vegetation","Agricultural and livestock area","Forests","Non-vegetated area","Water bodies","Not observed"
"150,443,796 ha (53.9%)","50,810,825 ha (18.2%)","49,299,307 ha (17.7%)","24,118,128 ha (8.6%)","3,968,676 ha (1.4%)","597,754 ha (0.2%)"
