"Natural herbaceous and shrub vegetation","Forests","Agricultural and livestock area","Non-vegetated area","Water bodies","Not observed"
"151,157,489 ha (54.1%)","52,233,464 ha (18.7%)","47,460,948 ha (17%)","23,649,845 ha (8.5%)","4,133,630 ha (1.5%)","603,112 ha (0.2%)"
