"Natural herbaceous and shrub vegetation","Forests","Agricultural and livestock area","Non-vegetated area","Water bodies","Not observed"
"152,420,291 ha (54.6%)","53,408,803 ha (19.1%)","44,873,508 ha (16.1%)","23,707,087 ha (8.5%)","4,223,188 ha (1.5%)","605,609 ha (0.2%)"
