"Natural herbaceous and shrub vegetation","Forests","Agricultural and livestock area","Non-vegetated area","Water bodies","Not observed"
"153,362,209 ha (54.9%)","56,128,987 ha (20.1%)","41,094,421 ha (14.7%)","23,779,899 ha (8.5%)","4,239,288 ha (1.5%)","633,682 ha (0.2%)"
