"Natural herbaceous and shrub vegetation","Agricultural and livestock area","Forests","Non-vegetated area","Water bodies","Not observed"
"151,246,067 ha (54.2%)","51,871,277 ha (18.6%)","47,921,226 ha (17.2%)","24,015,782 ha (8.6%)","3,660,405 ha (1.3%)","523,729 ha (0.2%)"
