"Natural herbaceous and shrub vegetation","Forests","Agricultural and livestock area","Non-vegetated area","Water bodies","Not observed"
"153,829,086 ha (55.1%)","56,565,432 ha (20.3%)","40,242,785 ha (14.4%)","23,677,927 ha (8.5%)","4,351,433 ha (1.6%)","571,824 ha (0.2%)"
