"Natural herbaceous and shrub vegetation","Agricultural and livestock area","Forests","Non-vegetated area","Water bodies","Not observed"
"151,427,496 ha (54.2%)","50,368,767 ha (18%)","48,628,858 ha (17.4%)","23,974,278 ha (8.6%)","4,239,530 ha (1.5%)","599,557 ha (0.2%)"
