"Natural herbaceous and shrub vegetation","Forests","Agricultural and livestock area","Non-vegetated area","Water bodies","Not observed"
"151,293,845 ha (54.2%)","54,909,476 ha (19.7%)","44,239,800 ha (15.8%)","23,927,001 ha (8.6%)","4,271,785 ha (1.5%)","596,580 ha (0.2%)"
