"Natural herbaceous and shrub vegetation","Forests","Agricultural and livestock area","Non-vegetated area","Water bodies","Not observed"
"153,183,721 ha (54.9%)","56,087,061 ha (20.1%)","41,153,239 ha (14.7%)","23,827,987 ha (8.5%)","4,375,803 ha (1.6%)","610,676 ha (0.2%)"
