"Natural herbaceous and shrub vegetation","Forests","Agricultural and livestock area","Non-vegetated area","Water bodies","Not observed"
"152,209,994 ha (54.5%)","53,983,582 ha (19.3%)","44,633,084 ha (16%)","23,706,296 ha (8.5%)","4,160,669 ha (1.5%)","544,861 ha (0.2%)"
