"Natural herbaceous and shrub vegetation","Agricultural and livestock area","Forests","Non-vegetated area","Water bodies","Not observed"
"150,370,194 ha (53.9%)","50,797,798 ha (18.2%)","49,525,243 ha (17.7%)","23,940,561 ha (8.6%)","3,970,960 ha (1.4%)","633,731 ha (0.2%)"
